Van (datum);Van (tijdstip);Tot (datum);Tot (tijdstip);EAN-code;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus;Omschrijving
1/03/2023;0:00:00;1/04/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Afname Dag;30,132;kWh;Onvolledig;Hoofdverblijf
1/03/2023;0:00:00;1/04/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Injectie Dag;0;kWh;Onvolledig;Hoofdverblijf
1/03/2023;0:00:00;1/04/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Afname Nacht;21,626;kWh;Onvolledig;Hoofdverblijf
1/03/2023;0:00:00;1/04/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Injectie Nacht;0;kWh;Onvolledig;Hoofdverblijf
1/04/2023;0:00:00;1/05/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Afname Dag;83,477;kWh;Uitgelezen;Hoofdverblijf
1/04/2023;0:00:00;1/05/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Injectie Dag;0;kWh;Uitgelezen;Hoofdverblijf
1/04/2023;0:00:00;1/05/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Afname Nacht;62,048;kWh;Uitgelezen;Hoofdverblijf
1/04/2023;0:00:00;1/05/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen;Hoofdverblijf
1/05/2023;0:00:00;1/06/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Afname Dag;77,014;kWh;Uitgelezen;Hoofdverblijf
1/05/2023;0:00:00;1/06/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Injectie Dag;0;kWh;Uitgelezen;Hoofdverblijf
1/05/2023;0:00:00;1/06/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Afname Nacht;63,235;kWh;Uitgelezen;Hoofdverblijf
1/05/2023;0:00:00;1/06/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen;Hoofdverblijf
1/06/2023;0:00:00;1/07/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Afname Dag;65,867;kWh;Uitgelezen;Hoofdverblijf
1/06/2023;0:00:00;1/07/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Injectie Dag;0;kWh;Uitgelezen;Hoofdverblijf
1/06/2023;0:00:00;1/07/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Afname Nacht;60,087;kWh;Uitgelezen;Hoofdverblijf
1/06/2023;0:00:00;1/07/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen;Hoofdverblijf
1/07/2023;0:00:00;1/08/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Afname Dag;51,515;kWh;Uitgelezen;Hoofdverblijf
1/07/2023;0:00:00;1/08/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Injectie Dag;0;kWh;Uitgelezen;Hoofdverblijf
1/07/2023;0:00:00;1/08/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Afname Nacht;88,162;kWh;Uitgelezen;Hoofdverblijf
1/07/2023;0:00:00;1/08/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen;Hoofdverblijf
1/08/2023;0:00:00;1/09/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Afname Dag;58,426;kWh;Uitgelezen;Hoofdverblijf
1/08/2023;0:00:00;1/09/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Injectie Dag;0;kWh;Uitgelezen;Hoofdverblijf
1/08/2023;0:00:00;1/09/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Afname Nacht;54,682;kWh;Uitgelezen;Hoofdverblijf
1/08/2023;0:00:00;1/09/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen;Hoofdverblijf
1/09/2023;0:00:00;1/10/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Afname Dag;70,513;kWh;Uitgelezen;Hoofdverblijf
1/09/2023;0:00:00;1/10/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Injectie Dag;0;kWh;Uitgelezen;Hoofdverblijf
1/09/2023;0:00:00;1/10/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Afname Nacht;71,876;kWh;Uitgelezen;Hoofdverblijf
1/09/2023;0:00:00;1/10/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen;Hoofdverblijf
1/10/2023;0:00:00;1/11/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Afname Dag;99,646;kWh;Uitgelezen;Hoofdverblijf
1/10/2023;0:00:00;1/11/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Injectie Dag;0;kWh;Uitgelezen;Hoofdverblijf
1/10/2023;0:00:00;1/11/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Afname Nacht;59,122;kWh;Uitgelezen;Hoofdverblijf
1/10/2023;0:00:00;1/11/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen;Hoofdverblijf
1/11/2023;0:00:00;1/12/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Afname Dag;94,885;kWh;Uitgelezen;Hoofdverblijf
1/11/2023;0:00:00;1/12/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Injectie Dag;0;kWh;Uitgelezen;Hoofdverblijf
1/11/2023;0:00:00;1/12/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Afname Nacht;64,505;kWh;Uitgelezen;Hoofdverblijf
1/11/2023;0:00:00;1/12/2023;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen;Hoofdverblijf
1/12/2023;0:00:00;1/01/2024;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Afname Dag;94,715;kWh;Uitgelezen;Hoofdverblijf
1/12/2023;0:00:00;1/01/2024;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Injectie Dag;0;kWh;Uitgelezen;Hoofdverblijf
1/12/2023;0:00:00;1/01/2024;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Afname Nacht;71,441;kWh;Uitgelezen;Hoofdverblijf
1/12/2023;0:00:00;1/01/2024;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen;Hoofdverblijf
1/01/2024;0:00:00;1/02/2024;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Afname Dag;109,796;kWh;Uitgelezen;Hoofdverblijf
1/01/2024;0:00:00;1/02/2024;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Injectie Dag;0;kWh;Uitgelezen;Hoofdverblijf
1/01/2024;0:00:00;1/02/2024;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Afname Nacht;71,006;kWh;Uitgelezen;Hoofdverblijf
1/01/2024;0:00:00;1/02/2024;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen;Hoofdverblijf
1/02/2024;0:00:00;1/03/2024;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Afname Dag;61,498;kWh;Uitgelezen;Hoofdverblijf
1/02/2024;0:00:00;1/03/2024;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Injectie Dag;0;kWh;Uitgelezen;Hoofdverblijf
1/02/2024;0:00:00;1/03/2024;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Afname Nacht;44,337;kWh;Uitgelezen;Hoofdverblijf
1/02/2024;0:00:00;1/03/2024;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen;Hoofdverblijf
1/03/2024;0:00:00;1/04/2024;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Afname Dag;105,506;kWh;Uitgelezen;Hoofdverblijf
1/03/2024;0:00:00;1/04/2024;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Injectie Dag;0;kWh;Uitgelezen;Hoofdverblijf
1/03/2024;0:00:00;1/04/2024;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Afname Nacht;68,83;kWh;Uitgelezen;Hoofdverblijf
1/03/2024;0:00:00;1/04/2024;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen;Hoofdverblijf
1/04/2024;0:00:00;1/05/2024;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Afname Dag;92,944;kWh;Uitgelezen;Hoofdverblijf
1/04/2024;0:00:00;1/05/2024;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Injectie Dag;0;kWh;Uitgelezen;Hoofdverblijf
1/04/2024;0:00:00;1/05/2024;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Afname Nacht;53,573;kWh;Uitgelezen;Hoofdverblijf
1/04/2024;0:00:00;1/05/2024;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen;Hoofdverblijf
1/05/2024;0:00:00;1/06/2024;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Afname Dag;73,278;kWh;Uitgelezen;Hoofdverblijf
1/05/2024;0:00:00;1/06/2024;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Injectie Dag;0;kWh;Uitgelezen;Hoofdverblijf
1/05/2024;0:00:00;1/06/2024;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Afname Nacht;55,479;kWh;Uitgelezen;Hoofdverblijf
1/05/2024;0:00:00;1/06/2024;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen;Hoofdverblijf
1/06/2024;0:00:00;1/07/2024;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Afname Dag;69,82;kWh;Uitgelezen;Hoofdverblijf
1/06/2024;0:00:00;1/07/2024;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Injectie Dag;0;kWh;Uitgelezen;Hoofdverblijf
1/06/2024;0:00:00;1/07/2024;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Afname Nacht;54,228;kWh;Uitgelezen;Hoofdverblijf
1/06/2024;0:00:00;1/07/2024;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen;Hoofdverblijf
1/07/2024;0:00:00;1/08/2024;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Afname Dag;77,5;kWh;Uitgelezen;Hoofdverblijf
1/07/2024;0:00:00;1/08/2024;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Injectie Dag;0;kWh;Uitgelezen;Hoofdverblijf
1/07/2024;0:00:00;1/08/2024;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Afname Nacht;53,927;kWh;Uitgelezen;Hoofdverblijf
1/07/2024;0:00:00;1/08/2024;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen;Hoofdverblijf
1/08/2024;0:00:00;1/09/2024;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Afname Dag;85,178;kWh;Uitgelezen;Hoofdverblijf
1/08/2024;0:00:00;1/09/2024;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Injectie Dag;0;kWh;Uitgelezen;Hoofdverblijf
1/08/2024;0:00:00;1/09/2024;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Afname Nacht;70,091;kWh;Uitgelezen;Hoofdverblijf
1/08/2024;0:00:00;1/09/2024;0:00:00;541448820045601437;1SAG1105524306;Digitale meter;Injectie Nacht;0;kWh;Uitgelezen;Hoofdverblijf
